item,itemLabel,politicalPartyLabel,positionHeldLabel,positionEnd,positionStart,militaryRankLabel,militaryRankStart,ismilitaryRankPIT,militaryEnd,nextHighestMilitaryRankLabel,nextLowestMilitaryRankLabel
http://www.wikidata.org/entity/Q729274,Dmitri Shepilov,Communist Party of the Soviet Union,,,,major general,1945-01-01T00:00:00Z,1.0,,lieutenant general,brigadier general
http://www.wikidata.org/entity/Q653173,Vasily Kazakov,Communist Party of the Soviet Union,,,,Marshal of the branch,1955-01-01T00:00:00Z,1.0,,,
http://www.wikidata.org/entity/Q1968256,Stepan Shutov,Communist Party of the Soviet Union,,,,podpolkovnik,1942-10-29T00:00:00Z,0.0,,colonel,major
http://www.wikidata.org/entity/Q1968256,Stepan Shutov,Communist Party of the Soviet Union,,,,colonel,1944-02-21T00:00:00Z,0.0,,brigadier,lieutenant colonel
http://www.wikidata.org/entity/Q1968256,Stepan Shutov,Communist Party of the Soviet Union,,,,captain,1937-08-27T00:00:00Z,0.0,,major,senior lieutenant
http://www.wikidata.org/entity/Q1968256,Stepan Shutov,Communist Party of the Soviet Union,,,,major,1941-12-01T00:00:00Z,0.0,,lieutenant colonel,captain
http://www.wikidata.org/entity/Q444979,Ivan Danilovich Chernyakhovsky,Communist Party of the Soviet Union,,,,colonel,1941-04-08T00:00:00Z,0.0,,brigadier,lieutenant colonel
http://www.wikidata.org/entity/Q444979,Ivan Danilovich Chernyakhovsky,Communist Party of the Soviet Union,,,,lieutenant general,1943-02-14T00:00:00Z,0.0,,colonel general,major general
http://www.wikidata.org/entity/Q444979,Ivan Danilovich Chernyakhovsky,Communist Party of the Soviet Union,,,,General of the army,1944-06-26T00:00:00Z,0.0,,,
http://www.wikidata.org/entity/Q444979,Ivan Danilovich Chernyakhovsky,Communist Party of the Soviet Union,,,,colonel general,1944-03-05T00:00:00Z,0.0,,General of the Army,lieutenant general
http://www.wikidata.org/entity/Q444979,Ivan Danilovich Chernyakhovsky,Communist Party of the Soviet Union,,,,major general,1942-05-03T00:00:00Z,0.0,,lieutenant general,brigadier general
http://www.wikidata.org/entity/Q4067096,Pyotr Antipov,Communist Party of the Soviet Union,,,,colonel,1955-06-13T00:00:00Z,0.0,,brigadier,lieutenant colonel
http://www.wikidata.org/entity/Q4067096,Pyotr Antipov,Communist Party of the Soviet Union,,,,senior lieutenant,1944-06-28T00:00:00Z,0.0,,,
http://www.wikidata.org/entity/Q4067096,Pyotr Antipov,Communist Party of the Soviet Union,,,,major,1948-11-12T00:00:00Z,0.0,,lieutenant colonel,captain
http://www.wikidata.org/entity/Q4067096,Pyotr Antipov,Communist Party of the Soviet Union,,,,captain,1945-01-11T00:00:00Z,0.0,,major,senior lieutenant
http://www.wikidata.org/entity/Q4067096,Pyotr Antipov,Communist Party of the Soviet Union,,,,major general,1958-02-18T00:00:00Z,0.0,,lieutenant general,brigadier general
http://www.wikidata.org/entity/Q4067096,Pyotr Antipov,Communist Party of the Soviet Union,,,,lieutenant,1942-03-15T00:00:00Z,0.0,,,
http://www.wikidata.org/entity/Q4067096,Pyotr Antipov,Communist Party of the Soviet Union,,,,podpolkovnik,1951-11-05T00:00:00Z,0.0,,colonel,major
